timestamps,,,,,Marker
1490137043.961,-132.162,85.943,118.381,-228.392,0
1490137043.961,-25.364,187.498,235.128,91.715,0
1490137043.961,-54.819,145.043,220.460,236.328,0
1490137043.976,-195.301,21.188,93.771,-188.225,0
1490137043.976,-121.160,91.893,134.171,-111.357,0
1490137043.991,-100.203,99.812,205.268,251.246,0
1490137043.991,-235.464,-26.903,90.382,-81.406,0
1490137043.991,-185.131,10.595,87.708,-231.474,0
1490137043.991,-134.689,75.312,187.962,175.530,0
1490137044.006,-204.965,11.109,147.907,77.938,0
1490137044.006,-218.844,-4.437,83.693,-255.572,0
1490137044.021,-97.969,113.854,190.204,56.723,0
1490137044.021,-117.857,107.062,218.550,227.122,0
1490137044.021,-203.636,-21.508,115.004,-176.798,0
1490137044.021,-89.683,113.044,142.393,-91.702,0
1490137044.036,-40.232,174.646,247.434,263.762,0
1490137044.036,-186.241,40.260,131.699,-55.681,0
1490137044.052,-133.013,109.031,126.257,-203.527,0
1490137044.052,-46.205,166.272,225.116,196.147,0
1490137044.052,-148.117,57.138,167.645,101.314,0
1490137044.052,-182.524,34.299,94.373,-235.573,0
1490137044.072,-29.942,159.550,211.388,81.670,0
1490137044.072,-62.655,93.873,234.645,248.816,0
1490137044.081,-154.873,41.361,125.231,-162.622,0
1490137044.081,-47.723,200.631,184.727,-64.313,0
1490137044.081,3.654,209.541,267.306,290.972,0
1490137044.081,-100.080,115.950,166.837,-22.641,0
1490137044.096,-53.531,170.779,157.199,-174.175,0
1490137044.096,27.088,232.156,275.146,239.322,0
1490137044.111,-85.464,115.161,204.223,133.928,0
1490137044.111,-139.913,70.286,98.268,-229.935,0
1490137044.111,-63.887,171.029,198.566,63.833,0
1490137044.111,-96.057,74.278,203.277,216.665,0
1490137044.126,-229.916,-7.730,70.566,-217.002,0
1490137044.126,-121.176,104.756,119.247,-128.069,0
1490137044.140,-103.246,107.855,206.014,228.700,0
1490137044.141,-242.202,-39.269,83.144,-97.385,0
1490137044.141,-223.119,15.152,84.623,-244.258,0
1490137044.141,-126.414,73.014,195.565,168.415,0
1490137044.156,-187.603,30.267,131.762,73.313,0
1490137044.156,-230.099,-1.963,59.418,-279.284,0
1490137044.171,-87.847,118.344,175.151,46.190,0
1490137044.171,-126.431,72.410,188.732,200.492,0
1490137044.171,-227.779,-11.397,80.971,-200.440,0
1490137044.171,-149.789,66.379,129.853,-109.932,0
1490137044.186,-99.257,107.202,212.361,251.594,0
1490137044.186,-217.946,-8.761,100.011,-81.635,0
1490137044.201,-173.608,35.353,93.036,-223.882,0
1490137044.201,-88.415,118.291,231.137,199.776,0
1490137044.201,-162.790,56.246,145.321,101.136,0
1490137044.201,-219.528,20.238,81.036,-272.020,0
1490137044.216,-94.184,128.226,180.897,56.472,0
1490137044.216,-136.587,50.870,190.731,201.119,0
1490137044.230,-247.119,-32.462,77.334,-209.085,0
1490137044.231,-146.066,65.506,131.235,-109.254,0
1490137044.231,-112.038,75.924,211.832,256.439,0
1490137044.231,-228.237,-25.241,92.630,-74.344,0
1490137044.246,-197.489,16.356,81.534,-228.035,0
1490137044.246,-101.802,91.351,205.012,184.702,0
1490137044.261,-196.455,21.811,139.216,85.255,0
1490137044.261,-235.889,-10.105,67.058,-265.170,0
1490137044.261,-92.076,111.036,193.072,62.335,0
1490137044.261,-133.058,80.795,204.717,221.772,0
1490137044.276,-231.967,-17.819,83.054,-201.360,0
1490137044.276,-114.570,65.534,152.135,-115.318,0
1490137044.291,-80.711,133.004,225.772,262.055,0
1490137044.291,-224.828,-6.057,102.655,-82.943,0
1490137044.291,-175.149,48.869,94.389,-222.670,0
1490137044.291,-91.523,107.703,220.650,197.315,0
1490137044.306,-177.290,48.003,142.191,90.332,0
1490137044.306,-200.874,15.915,82.693,-256.660,0
1490137044.320,-49.668,141.974,191.586,68.444,0
1490137044.321,-89.494,110.099,206.801,220.641,0
1490137044.321,-196.414,-0.299,89.526,-180.766,0
1490137044.321,-111.154,102.262,143.595,-97.353,0
1490137044.336,-69.209,144.173,237.244,264.005,0
1490137044.336,-209.530,7.798,119.475,-61.003,0
1490137044.351,-168.411,46.384,101.217,-219.325,0
1490137044.351,-54.230,124.576,227.283,196.390,0
1490137044.351,-147.784,68.455,165.309,92.626,0
1490137044.351,-218.281,0.419,72.634,-264.856,0
1490137044.366,-100.529,103.567,183.420,61.991,0
1490137044.366,-120.002,62.473,200.079,218.189,0
1490137044.381,-230.374,-18.791,70.506,-202.403,0
