timestamps,,,,,Marker
1490136716.659,-102.499,112.616,106.243,-212.871,0
1490136716.659,-46.687,172.785,201.362,219.310,0
1490136716.674,-120.337,84.112,136.718,94.606,0
1490136716.674,-141.905,58.722,82.227,-265.258,0
1490136716.674,-24.018,179.265,162.484,93.146,0
1490136716.674,-63.219,134.016,199.432,238.682,0
1490136716.689,-173.008,41.902,83.297,-202.749,0
1490136716.689,-71.067,148.468,151.372,-79.641,0
1490136716.704,-33.726,185.866,219.515,288.849,0
1490136716.704,-172.151,37.575,93.152,-81.180,0
1490136716.711,-114.016,102.232,94.283,-212.548,0
1490136716.711,-29.968,178.924,207.432,225.725,0
1490136716.719,-111.722,74.622,140.117,92.701,0
1490136716.719,-154.106,73.111,81.861,-254.238,0
1490136716.734,-24.427,191.563,184.867,89.617,0
1490136716.734,-71.729,125.210,168.714,219.143,0
1490136716.734,-178.709,24.667,74.061,-203.712,0
1490136716.734,-71.948,146.649,150.230,-73.326,0
1490136716.749,-35.823,163.185,211.050,290.960,0
1490136716.749,-169.113,34.484,108.491,-76.821,0
1490136716.764,-116.165,105.476,105.903,-214.513,0
1490136716.764,-19.528,183.493,202.933,223.042,0
1490136716.764,-123.362,79.864,148.607,98.481,0
1490136716.764,-165.608,52.353,67.743,-263.882,0
1490136716.779,-24.852,182.943,176.705,98.623,0
1490136716.779,-70.075,146.385,201.603,235.307,0
1490136716.779,-168.183,46.691,77.771,-210.781,0
1490136716.794,-65.637,150.714,145.899,-80.066,0
1490136716.794,-42.938,157.975,225.400,289.292,0
1490136716.809,-165.685,48.190,91.138,-78.673,0
1490136716.809,-126.579,103.442,97.890,-217.969,0
1490136716.809,-32.002,185.512,213.193,227.908,0
1490136716.809,-117.048,88.574,142.086,93.862,0
1490136716.824,-148.478,59.040,80.632,-260.751,0
1490136716.824,-44.959,165.614,182.236,93.109,0
1490136716.839,-68.113,146.526,192.586,229.258,0
1490136716.839,-162.732,51.973,68.466,-198.628,0
1490136716.839,-72.876,136.183,149.377,-81.391,0
1490136716.839,-29.248,180.409,221.249,281.186,0
1490136716.854,-158.667,45.429,85.674,-86.046,0
1490136716.854,-118.315,114.529,104.629,-212.772,0
1490136716.869,-17.056,186.038,212.752,222.906,0
1490136716.869,-125.161,75.740,138.335,89.178,0
1490136716.869,-153.042,58.189,75.430,-256.434,0
1490136716.869,-39.557,168.350,184.327,97.497,0
1490136716.884,-68.930,138.460,195.930,238.340,0
1490136716.884,-169.062,47.289,62.505,-200.769,0
1490136716.899,-61.942,142.737,144.886,-76.243,0
1490136716.899,-32.990,166.738,214.954,280.175,0
1490136716.899,-159.144,46.971,99.743,-83.347,0
1490136716.899,-119.817,103.378,98.991,-221.286,0
1490136716.914,-35.690,190.815,217.541,221.438,0
1490136716.914,-137.239,90.291,147.481,90.739,0
1490136716.929,-142.333,61.849,77.223,-259.199,0
1490136716.929,-22.288,170.513,189.325,96.934,0
1490136716.929,-73.427,131.970,185.772,227.145,0
1490136716.929,-171.196,38.375,82.341,-202.544,0
1490136716.944,-72.001,150.922,135.319,-84.701,0
1490136716.944,-43.280,166.586,212.004,287.365,0
1490136716.959,-171.252,53.208,106.322,-78.282,0
1490136716.959,-107.081,113.691,101.628,-219.534,0
1490136716.959,-29.068,185.267,211.078,222.569,0
1490136716.959,-122.454,90.319,149.224,91.530,0
1490136716.974,-149.729,55.814,67.440,-264.620,0
1490136716.974,-37.242,180.665,188.035,91.226,0
1490136716.988,-86.855,124.656,187.339,235.012,0
1490136716.989,-168.269,49.836,76.919,-205.982,0
1490136716.989,-67.354,136.248,136.291,-81.139,0
1490136716.989,-42.295,175.773,210.523,290.545,0
1490136717.004,-155.692,46.276,96.871,-80.677,0
1490136717.004,-112.046,111.591,100.721,-207.665,0
1490136717.019,-20.525,176.499,211.080,228.398,0
1490136717.019,-135.298,82.115,141.832,90.025,0
1490136717.019,-150.595,44.739,79.783,-261.772,0
1490136717.019,-44.372,171.104,185.591,95.970,0
1490136717.034,-80.256,137.748,187.287,241.742,0
1490136717.034,-177.703,37.010,81.967,-204.376,0
1490136717.049,-86.650,141.363,149.373,-74.574,0
1490136717.049,-31.503,165.001,219.641,281.272,0
1490136717.049,-164.273,40.627,97.185,-75.537,0
1490136717.049,-111.505,107.932,108.582,-209.066,0
1490136717.064,-19.259,185.305,213.410,222.935,0
1490136717.064,-123.512,77.016,136.233,97.843,0
