timestamps,,,,,Marker
1490136955.240,-86.809,123.845,159.026,-50.674,0
1490136955.254,-73.597,126.768,218.492,242.749,0
1490136955.254,-191.083,21.456,109.134,-112.264,0
1490136955.269,-129.948,87.343,116.189,-184.351,0
1490136955.269,-68.205,138.661,213.174,224.022,0
1490136955.270,-177.443,30.985,139.655,46.758,0
1490136955.270,-183.846,37.064,83.374,-251.394,0
1490136955.284,-77.623,146.122,192.973,115.335,0
1490136955.284,-135.977,72.262,183.163,186.140,0
1490136955.299,-192.064,21.796,78.502,-227.511,0
1490136955.299,-72.360,126.960,161.358,-41.868,0
1490136955.300,-63.633,133.926,228.203,257.296,0
1490136955.300,-191.687,15.670,72.851,-115.853,0
1490136955.314,-133.608,70.275,122.519,-186.182,0
1490136955.314,-61.665,139.345,227.171,222.816,0
1490136955.329,-158.117,37.855,149.071,43.510,0
1490136955.329,-183.089,46.934,78.562,-249.324,0
1490136955.330,-75.269,145.972,197.470,118.587,0
1490136955.330,-117.575,90.659,190.499,193.196,0
1490136955.344,-201.319,0.037,77.479,-226.515,0
1490136955.344,-89.326,123.815,159.815,-31.806,0
1490136955.359,-80.221,120.195,209.588,254.380,0
1490136955.359,-188.670,15.148,104.871,-114.534,0
1490136955.360,-123.310,68.799,121.014,-185.776,0
1490136955.360,-54.775,140.401,225.804,225.522,0
1490136955.374,-177.140,43.452,143.938,36.133,0
1490136955.374,-161.356,48.450,98.550,-250.052,0
1490136955.389,-76.032,151.199,207.847,113.581,0
1490136955.389,-122.744,81.416,165.952,181.690,0
1490136955.390,-179.575,22.000,93.604,-224.448,0
1490136955.390,-89.408,112.549,155.251,-46.925,0
1490136955.404,-84.683,131.355,223.356,256.365,0
1490136955.404,-192.287,26.884,97.763,-120.071,0
1490136955.419,-134.519,85.378,110.798,-185.340,0
1490136955.419,-75.187,140.600,214.208,220.579,0
1490136955.426,-172.997,39.088,143.173,41.700,0
1490136955.426,-176.175,38.325,87.201,-253.864,0
1490136955.434,-64.912,148.126,197.684,115.262,0
1490136955.434,-109.607,90.281,194.699,185.536,0
1490136955.449,-195.954,16.497,71.099,-233.747,0
1490136955.449,-95.001,121.496,157.945,-43.138,0
1490136955.450,-76.109,126.274,220.553,263.517,0
1490136955.450,-203.557,18.382,83.901,-126.023,0
1490136955.464,-149.121,76.647,127.645,-178.846,0
1490136955.464,-54.840,143.743,230.628,231.906,0
1490136955.479,-165.683,39.131,138.765,41.496,0
1490136955.479,-176.189,26.995,88.725,-249.936,0
1490136955.480,-56.117,160.660,198.250,117.777,0
1490136955.480,-139.128,89.505,182.614,182.445,0
1490136955.494,-212.946,12.893,79.774,-220.222,0
1490136955.494,-88.035,112.373,156.515,-37.833,0
1490136955.509,-75.875,117.472,220.372,249.992,0
1490136955.509,-184.370,20.287,102.744,-118.269,0
1490136955.510,-127.910,92.484,118.211,-170.051,0
1490136955.510,-55.070,160.070,226.243,227.580,0
1490136955.524,-165.883,36.668,149.893,35.065,0
1490136955.524,-159.561,69.757,96.185,-243.991,0
1490136955.539,-76.705,144.646,194.045,126.541,0
1490136955.539,-130.175,95.672,194.406,187.160,0
1490136955.540,-153.530,54.376,78.547,-223.092,0
1490136955.540,-53.254,171.063,159.982,-44.140,0
1490136955.554,-67.148,165.528,217.073,248.651,0
1490136955.554,-163.177,45.047,91.061,-129.427,0
1490136955.569,-100.966,116.234,94.096,-190.974,0
1490136955.569,-26.731,173.299,206.758,218.408,0
1490136955.570,-151.157,63.507,122.413,23.758,0
1490136955.570,-141.013,49.958,76.273,-254.270,0
1490136955.584,-38.837,160.904,185.428,108.925,0
1490136955.584,-122.824,99.816,176.658,170.702,0
