timestamps,,,,,Marker
1490136494.337,-127.170,41.113,92.050,-129.573,0
1490136494.337,-69.244,114.024,134.979,-74.575,0
1490136494.352,-0.342,190.985,234.851,317.297,0
1490136494.352,-100.785,75.995,118.914,22.716,0
1490136494.353,-86.792,99.472,103.034,-171.699,0
1490136494.353,8.061,170.169,225.959,247.531,0
1490136494.367,-61.194,102.731,181.484,166.824,0
1490136494.367,-132.189,63.208,92.669,-192.842,0
1490136494.382,-14.690,175.815,200.085,88.853,0
1490136494.382,-21.437,148.712,213.348,305.948,0
1490136494.383,-124.845,39.069,109.241,-119.795,0
1490136494.383,-60.270,142.191,145.680,-81.208,0
1490136494.412,2.850,196.167,243.963,322.056,0
1490136494.412,-104.276,71.277,121.261,8.649,0
1490136494.427,-97.131,86.081,105.624,-180.261,0
1490136494.427,3.257,195.531,227.046,233.052,0
1490136494.428,-73.508,111.260,184.396,195.111,0
1490136494.428,-106.898,52.783,79.361,-195.084,0
1490136494.429,-12.063,164.126,196.175,93.129,0
1490136494.429,-41.533,119.120,229.177,303.874,0
1490136494.429,-115.105,40.529,104.010,-123.548,0
1490136494.429,-51.783,171.031,144.063,-101.488,0
1490136494.442,25.523,216.589,224.151,322.331,0
1490136494.442,-102.191,71.174,116.262,2.708,0
1490136494.457,-87.379,100.254,96.994,-185.570,0
1490136494.458,20.306,193.020,212.376,231.199,0
1490136494.472,-54.350,125.612,186.365,186.956,0
1490136494.472,-130.315,57.220,82.949,-209.036,0
1490136494.473,-2.581,175.298,190.226,99.953,0
1490136494.473,-21.931,142.417,210.412,292.256,0
1490136494.487,-110.129,49.320,101.738,-125.289,0
1490136494.488,-52.959,141.682,124.819,-73.265,0
1490136494.502,10.382,202.529,243.148,322.048,0
1490136494.502,-117.702,56.871,118.804,9.333,0
1490136494.503,-89.879,94.515,114.069,-185.153,0
1490136494.503,-7.678,177.827,219.248,247.581,0
1490136494.517,-44.445,93.982,183.379,189.781,0
1490136494.518,-120.133,53.479,89.597,-204.356,0
1490136494.532,-0.256,201.057,186.585,91.031,0
1490136494.532,-29.674,151.264,209.711,293.238,0
1490136494.534,-146.449,55.437,98.423,-127.385,0
1490136494.534,-54.311,143.629,147.219,-75.469,0
1490136494.548,17.650,170.106,231.335,322.937,0
1490136494.548,-110.131,55.586,130.291,16.658,0
1490136494.562,-102.926,78.865,109.205,-188.558,0
1490136494.562,6.147,178.928,225.398,243.795,0
1490136494.563,-54.851,94.070,183.754,188.796,0
1490136494.563,-133.034,60.616,83.035,-207.364,0
1490136494.577,-7.334,181.922,197.239,98.520,0
1490136494.577,-20.042,166.693,200.468,297.369,0
1490136494.592,-137.894,53.180,108.702,-121.616,0
1490136494.592,-47.674,118.357,141.293,-62.711,0
1490136494.593,5.565,182.314,235.840,313.712,0
1490136494.593,-98.763,58.965,120.053,7.945,0
1490136494.607,-77.997,98.902,106.204,-183.208,0
1490136494.607,1.264,180.658,216.174,237.267,0
1490136494.622,-68.122,101.413,168.131,183.917,0
1490136494.622,-130.874,65.315,88.972,-208.769,0
1490136494.623,-14.442,186.464,212.518,80.900,0
1490136494.623,-10.547,159.544,222.113,310.045,0
