timestamps,,,,,Marker
1490136644.931,-60.310,159.660,153.358,-50.797,0
1490136644.931,-18.264,195.505,213.842,273.087,0
1490136644.932,-148.338,56.299,90.889,-77.723,0
1490136644.932,-91.332,102.354,98.232,-182.189,0
1490136644.946,-7.833,176.652,207.720,226.677,0
1490136644.946,-106.114,99.741,142.619,68.723,0
1490136644.961,-142.870,74.374,69.871,-227.627,0
1490136644.961,-14.859,176.602,195.189,115.249,0
1490136644.969,-67.232,148.257,193.671,223.491,0
1490136644.969,-163.254,46.105,61.895,-191.174,0
1490136644.977,-77.149,150.933,139.313,-55.586,0
1490136644.977,-21.355,169.604,218.492,273.811,0
1490136644.991,-158.258,49.561,93.808,-77.567,0
1490136644.991,-97.378,109.880,103.021,-192.061,0
1490136644.992,-13.823,177.294,205.728,222.359,0
1490136644.992,-128.959,90.812,137.654,82.338,0
1490136645.006,-158.407,65.321,79.499,-243.576,0
1490136645.007,-20.627,166.297,197.446,112.434,0
1490136645.021,-68.386,133.696,186.215,215.340,0
1490136645.021,-162.138,41.952,72.672,-196.816,0
1490136645.022,-66.768,161.347,139.005,-87.822,0
1490136645.022,-37.113,186.036,218.341,290.601,0
1490136645.036,-160.821,44.009,96.431,-74.129,0
1490136645.037,-110.761,106.628,101.804,-181.075,0
1490136645.051,-22.441,197.117,207.346,231.550,0
1490136645.051,-115.935,92.512,133.849,98.986,0
1490136645.052,-161.573,73.222,87.029,-235.429,0
1490136645.052,-6.204,189.172,204.408,120.021,0
1490136645.066,-60.519,159.596,194.112,232.515,0
1490136645.067,-147.449,64.308,76.537,-192.536,0
1490136645.081,-45.300,170.014,157.085,-53.380,0
1490136645.081,-16.927,188.240,229.574,287.765,0
1490136645.082,-152.764,79.297,103.053,-77.178,0
1490136645.082,-100.257,132.933,109.622,-196.863,0
1490136645.096,-11.799,204.939,215.886,219.536,0
1490136645.097,-135.833,94.881,151.391,98.677,0
1490136645.111,-147.457,76.253,72.805,-237.902,0
1490136645.111,-44.787,192.177,188.515,110.052,0
1490136645.112,-67.791,119.862,184.637,215.108,0
1490136645.112,-155.290,37.524,63.958,-197.325,0
1490136645.126,-55.433,139.401,140.127,-64.048,0
1490136645.127,-31.466,168.791,215.207,280.859,0
1490136645.141,-151.535,59.829,99.049,-71.256,0
1490136645.141,-116.120,87.304,106.916,-177.327,0
1490136645.142,-36.485,196.560,208.434,221.815,0
1490136645.142,-126.175,112.629,141.493,82.482,0
1490136645.156,-138.229,84.079,74.654,-244.191,0
1490136645.157,-35.118,188.678,198.574,106.037,0
1490136645.171,-62.583,139.008,188.723,226.299,0
1490136645.171,-168.800,46.876,75.045,-193.613,0
1490136645.172,-66.235,139.324,141.680,-81.646,0
1490136645.172,-33.940,176.232,217.266,276.466,0
