timestamps,,,,,Marker
1490136546.865,-5.513,170.736,213.887,174.268,0
1490136546.865,-62.512,139.070,193.695,213.524,0
1490136546.866,-146.316,71.980,73.042,-200.371,0
1490136546.866,-23.698,169.100,167.211,8.097,0
1490136546.880,-14.900,167.604,219.796,300.417,0
1490136546.880,-140.400,54.146,100.201,-89.341,0
1490136546.895,-77.006,117.367,126.723,-142.488,0
1490136546.895,-1.447,181.576,227.343,275.866,0
1490136546.896,-98.685,72.277,145.117,32.582,0
1490136546.896,-129.128,84.217,82.751,-199.793,0
1490136546.910,-7.325,175.454,203.462,190.194,0
1490136546.910,-70.746,125.451,184.583,208.346,0
1490136546.925,-140.689,55.470,75.004,-205.392,0
1490136546.925,-35.615,159.034,163.877,0.922,0
1490136546.926,-31.750,153.461,218.006,290.239,0
1490136546.926,-143.924,39.226,96.254,-104.074,0
1490136546.940,-77.876,111.780,129.236,-127.654,0
1490136546.941,21.708,188.293,233.761,276.433,0
1490136546.941,-115.688,85.520,140.312,53.370,0
1490136546.955,-127.648,84.219,102.632,-208.008,0
1490136546.955,-40.739,173.537,202.770,180.761,0
1490136546.970,-71.750,117.053,188.929,207.031,0
1490136546.970,-128.279,86.487,59.218,-204.275,0
1490136546.971,-22.116,188.192,167.639,6.911,0
1490136546.971,-16.571,176.007,224.502,297.530,0
1490136546.985,-135.414,65.538,101.785,-101.495,0
1490136546.985,-86.349,117.551,111.268,-159.269,0
1490136547.000,-6.866,178.812,229.907,303.358,0
1490136547.000,-122.183,59.161,134.221,61.518,0
1490136547.001,-118.272,98.096,90.816,-211.585,0
1490136547.001,-4.660,205.676,205.760,171.603,0
1490136547.015,-52.590,120.537,192.083,213.982,0
1490136547.015,-156.201,55.998,85.242,-196.274,0
1490136547.030,-35.684,185.018,173.202,19.318,0
1490136547.030,-6.171,150.409,215.278,295.598,0
1490136547.031,-137.123,41.365,92.520,-101.142,0
1490136547.031,-73.850,134.610,114.336,-133.679,0
1490136547.045,0.310,192.360,234.868,293.270,0
1490136547.045,-109.250,83.600,151.038,53.262,0
1490136547.060,-100.960,96.598,98.713,-209.889,0
1490136547.060,9.653,201.870,208.372,186.288,0
1490136547.061,-62.591,115.677,184.669,215.020,0
1490136547.061,-154.293,26.293,79.409,-214.384,0
1490136547.075,-63.887,159.350,139.212,10.210,0
1490136547.075,-24.081,159.759,218.979,278.628,0
1490136547.090,-134.764,49.993,100.861,-110.565,0
1490136547.090,-88.641,129.550,115.621,-136.923,0
1490136547.091,-0.647,177.707,225.359,278.080,0
1490136547.091,-126.094,69.927,127.187,44.041,0
1490136547.105,-128.264,91.149,76.638,-216.888,0
1490136547.105,-14.763,174.423,190.520,187.741,0
1490136547.120,-61.153,101.735,193.158,214.379,0
1490136547.120,-143.079,59.253,81.347,-204.939,0
1490136547.121,-26.422,160.027,168.899,22.314,0
1490136547.121,-28.468,183.594,229.245,291.843,0
1490136547.135,-137.946,64.747,98.842,-99.003,0
1490136547.135,-78.054,125.073,119.200,-129.812,0
1490136547.150,-5.771,189.095,233.115,277.832,0
1490136547.150,-123.667,74.714,142.352,49.395,0
1490136547.151,-115.045,97.417,100.768,-243.047,0
1490136547.151,-12.387,190.329,222.990,206.622,0
1490136547.165,-77.405,103.227,188.639,221.838,0
1490136547.165,-151.077,42.124,86.300,-188.014,0
1490136547.180,-25.934,164.522,171.310,25.132,0
1490136547.180,-23.472,176.720,219.257,289.844,0
1490136547.181,-141.843,67.776,89.662,-103.193,0
1490136547.181,-71.415,139.311,122.781,-131.975,0
1490136547.195,-2.663,184.001,240.223,285.089,0
1490136547.195,-137.112,76.969,136.216,47.119,0
1490136547.210,-110.853,93.692,70.327,-208.114,0
1490136547.210,-7.203,176.548,214.124,183.238,0
1490136547.211,-60.343,114.065,190.884,206.809,0
1490136547.211,-144.547,43.011,79.245,-200.941,0
1490136547.225,-24.936,169.324,175.949,35.336,0
1490136547.225,-22.170,168.655,229.536,303.033,0
1490136547.240,-141.054,59.472,103.707,-119.123,0
1490136547.240,-68.311,153.184,124.455,-143.945,0
1490136547.241,4.353,201.783,230.109,289.504,0
1490136547.241,-124.008,75.322,145.333,51.684,0
1490136547.255,-111.817,90.234,93.670,-217.309,0
1490136547.255,-8.093,177.526,206.452,180.959,0
1490136547.270,-72.490,121.027,188.306,206.235,0
1490136547.270,-146.354,59.072,74.994,-210.940,0
1490136547.271,-38.313,158.072,175.977,26.026,0
1490136547.271,-13.194,163.553,236.195,303.944,0
1490136547.285,-149.035,70.385,98.017,-103.616,0
1490136547.285,-70.338,127.357,120.548,-116.537,0
1490136547.300,1.967,184.538,229.235,269.785,0
1490136547.300,-126.678,64.566,131.781,27.974,0
1490136547.301,-110.235,107.479,100.598,-192.283,0
1490136547.301,5.782,189.572,206.480,185.894,0
1490136547.315,-69.398,118.173,181.015,205.178,0
1490136547.315,-148.130,51.072,86.025,-179.025,0
1490136547.330,-31.656,176.577,171.551,26.159,0
1490136547.330,-47.816,160.313,222.105,293.414,0
1490136547.345,-130.061,43.366,82.715,-102.470,0
1490136547.345,-63.275,130.986,123.598,-127.740,0
1490136547.346,-0.765,192.790,217.875,286.987,0
1490136547.346,-122.480,67.387,135.212,42.928,0
1490136547.360,-117.343,88.572,91.197,-207.779,0
1490136547.360,-14.030,182.172,215.125,173.928,0
1490136547.361,-64.433,105.332,186.877,215.914,0
1490136547.361,-137.439,60.042,76.786,-211.201,0
1490136547.375,-36.172,172.443,171.830,36.591,0
1490136547.375,-18.817,156.328,221.913,294.302,0
1490136547.390,-143.625,38.513,97.995,-105.654,0
1490136547.390,-81.743,140.738,116.543,-128.639,0
1490136547.391,-4.168,176.886,226.875,286.633,0
1490136547.391,-125.318,74.719,132.080,49.449,0
1490136547.405,-104.900,74.927,94.872,-208.892,0
